course_id,자치구,러닝코스 명,거리,distance_km,난이도,위도1,경도1,위도2,경도2,코스
1,남구,이기대해안산책로 (트레킹러닝 상급자),4.7,1.2961,초급,35.132021,129.121177,35.100302,129.122609,동생말 - 어울마당 - 농바위 - 오륙도선착장
2,남구,황령산 둘레길 트레킹러닝 코스 (초심자),5.3,1.1273,초급,35.152923,129.107504,35.157185,129.082078,수영구국민체육센터 - 금련산청소년수련원 - 황령산 봉수대 - 복귀
3,해운대구,해운대 러닝코스 (초급),5,1.3202,초급,35.163584,129.1585578,35.1801147,129.2002712,해운대역 - 동백섬 한바퀴 - 해파랑길 2코스 시작점
4,해운대구,동백섬 러닝코스,1,0.0825,초급,35.156589,129.153235,35.155919,129.153523,동백섬 내부
5,해운대구,해운대 러닝코스 (중상급),9,4.4811,중급,35.158323,129.172777,35.180826,129.200316,해운대블루라인파크 미포정거장 데크로드길 - 송정해수욕장 - 복귀
6,해운대구,해운대 러닝코스 (상급 / 언덕0),7,2.356,초급,35.163505,129.158503,35.155709,129.178339,해운대해수욕장 - 달맞이언덕 - 복귀
7,사하구,사하구 러닝코스,8.3,9.6669,상급,35.106222,128.947779,35.046268,128.963089,울숙도 철새공원 철새보호소 - 다대포해수욕장
8,금정구,온천천 산책로 코스,5,4.9287,중급,35.2452264,129.0909447,35.2373579,129.0884284,구서역 인근 - 온천천로(명륜동) - 장전역 인근 - 복귀
9,금정구,부산대 캠퍼스 러닝코스,2,0.8749,초급,35.2317015,129.0841815,35.2334616,129.0748561,부산대 정문 - 중앙도서관 - 체육관 - 순환 코스
10,동래구,온천천 러닝코스(중급),7,7.1123,중급,35.1938301,129.0878373,35.2460725,129.0944517,온천천 초입 - 금정문화회관 방면 - 복귀
11,동래구,온천천 전구간 확장 루트(고급),9,4.5739,중급,35.2180574,129.0848152,35.1661302,129.1265798,동래온천교 - 연산교 - 수영구 수영교
12,동래구,"온천천 러닝코스(동래구 구간, 초급)",5,4.3029,중급,35.2122777,129.0797542,35.1919031,129.1024624,명륜역 인근 - 안락교 - 온천천카페거리 - 복귀
13,동래구,온천천 러닝코스 (초급),7.8,4.16,중급,35.205522,129.078769,35.1942345,129.1130776,1호선 동래역 2번 출구 - 원동IC 앞 - 복귀
14,중구,용두산-친수공원,4,3.545,중급,35.10075,129.032628,35.114605,129.039311,용두산공원 - 이순신대로 - 친수공원
15,중구,자갈치시장 주변 코스,2.6,0.7149,초급,35.096906,129.03078,35.096906,129.03078,자갈치시장 - 영도대교 - 부산대교 - 자갈치시장
16,영도구,절영해안산책로,5,2.9188,중급,35.078722,129.045296,35.062809,129.081402,남항동 관리사무소 - 중리항 - 감지해변길 - 태종대 입구
17,영도구,깡깡이마을-브릿지수변테마공원,2.5,1.0885,초급,35.093231,129.034191,35.083644,129.037287,깡깡이마을 안내센터-남항 방파제-브릿지수변테마공원
18,영도구,남파랑길 부산 2코스,18.9,5.0956,중급,35.114605,129.039311,35.093103,129.037969,부산역 - 봉래산 - 중리바닷가 - 흰여울문화마을 - 영도대교 입구
19,영도구,영도 갈맷길 욜로 6코스,10.9,2.349,중급,35.093199,129.037969,35.076756,129.078278,영도대교 - 흰여울 문화마을 - 국립해양박물관 - 아미르공원
20,영도구,영도~자갈치시장,12,2.9328,중급,35.085344,129.037142,35.094662,129.036868,영도 남항대교 - 송도해변 - 남항체육공원 - 충무동해안시장 - 자갈치시장 - 남포동 - 부산대교 - 영도 포차거리 - 영도
21,기장군,오시리아 해안 산책로,2.1,0.373,초급,35.197839,129.228167,35.197915,129.229364,아난티 힐튼 호텔 - 연월이
22,기장군,임랑해수욕장,12.2,9.7773,상급,35.319186,129.264336,35.263115,129.233757,임랑해수욕장 - 일광해수욕장
23,기장군,정관읍 좌광천,5,4.6987,중급,35.333405,129.170754,35.320791,129.210205,모전교 - 무명다리
24,기장군,부산 갈맷길 1-1,26.4,9.8058,상급,35.319186,129.264336,35.24448,129.222703,임랑해수욕장 - 일광해수욕장 - 기장군청
25,부산진구,백양산 등산 코스,22,1.5004,중급,35.158703,129.020799,35.165606,129.014171,백양산개금동코스
26,강서구,명지 국제신도시 수변공원 왕복 코스,8,1.46,초급,35.0877806,128.9128302,35.090757,128.8988817,명지배수펌프장 - 오션중학교 - 부산명지엘크루솔마레아파트 - 부산환경공단명지사업소 - 복귀
27,강서구,대저생태공원,6,2.7508,중급,35.1981465,128.9684834,35.2153791,128.9902824,대저생태공원 P5주차장 - 대저캠핑장 끝 지점 - 복귀
28,강서구,명지 울림공원~너울공원 코스,4,1.8749,초급,35.103734,128.9274047,35.0933541,128.9182181,울림공원 위쪽 끝자락(주차장) - 스타필드 시티 명지 근처 - 복귀
