자치구,러닝코스 명,시작 주소,끝 주소,위도1,경도1,거리,코스
북구,순환웰빙산책로,"부산광역시 북구 산성로 299, 화명수목원 대천천누리길",,35.250058,129.039552,,대천천누리길 N바퀴
사하구,다대포해수욕장,다대포해변공원 제1잔디광장,다대포해변공원 제1잔디광장,35.046289,128.965709,,다대포해변공원 N바퀴
금정구,금정산 성곽 러닝코스,부산광역시 금정구 북문로 122,,35.2762346,129.0575311,4.5km,금정산성 북문 → 남문 → 전망대 → 순환 코스
금정구,금정체육공원 순환코스,부산 금정구 체육공원로399번길 324 스포원파크,,35.2916262,129.1052177,5km,금정체육공원 주차장 → 축구장 주변 순환 → 숲길 구간 → 복귀
금정구,회동수원지 순환코스,부산 금정구 오륜동 352-3,,35.2462938,129.1186566,10km,회동수원지 입구 → 수변데크길 → 숲속길 → 수원지 둘레 완주
동래구,금강공원,부산 동래구 온천동,,35.2199032,129.0761442,3km,금강공원 입구 - 산책로 - 전망대 - 순환 코스
동래구,동래읍성 코스,부산 동래구 명륜동 산48-2,,35.2104566,129.088811,3km,동래읍성 입구 - 성곽길 - 전망대
중구,용두산공원,부산 중구 광복동 2가,부산 중구 광복동 2가,35.10075,129.032628,,
중구,부산시민공원 운동장,부산 부산진구 시민공원로 73,,35.168363,129.057262,,
중구,중구종합운동장,부산 중구 대청동 1가,,35.105958,129.032262,,
서구,구덕운동장,부산 서구 망양로 57,,35.116355,129.014995,,
서구,송도 해안산책로,부산 서구 송도해변로,,35.073767,129.016539,,
서구,남항대교,부산 영도구 남항동3가,,35.081568,129.032958,,
서구,부산항대교,부산 남구 감만동,,35.110357,129.073304,,
서구,암남공원 원형 코스,부산 서구 암남동,,35.061154,129.01608,5km,암남공원 원형 코스-해안 데크길-공원 내부 순황-암남공원 입구
영도구,태종대 순환도로 코스,부산광역시 영도구 동삼동 1063-1,,35.062809,129.081402,4.3km,
영도구,태종대 마라톤 코스,부산광역시 영도구 동삼동 1063-1,,35.062809,129.081402,7km,
부산진구,송상현광장,부산 부산진구 중앙대로 818,,35.165695,129.065498,,
부산진구,양정라이온스공원,부산 부산진구 양정제1동 431,,35.167843,129.06847,,
동구,부산 갈맷길 3-2구간,부산진시장 (동구 범일동),절영해안 산책로,35.136623,129.058716,14.6km,부산진시장-용두산공원-절영해안산책로관리센터
동구,부산북항수변공원,부산 동구 이순신대로,,35.113175,129.047643,,
강서구,맥도생태공원 왕복 코스,부산 강서구 대저2동 1200-31,,35.1516741,128.9549858,6.2km,맥도생태공원 주차장 → 강변 둔치길 → 공원 내 순환 산책로 일부 → 복귀
강서구,맥도생태공원 -> 대저 확장 루프 코스,부산 강서구 대저2동 1200-32,부산 강서구 대저1동 1-1,35.1505348,128.955179,10km,맥도생태공원 출발 → 강변길 따라 대저 방향 이동 → 복귀 + 내부 순환
연제구,부산아시아드보조경기장 트랙,부산 연제구 거제동 1342,,35.1898421,129.0557286,,
