자치구,러닝코스 명,시작 주소,끝 주소,위도1,경도1,경유지위도1,경유지경도1,경유지위도2,경유지경도2,경유지위도3,경유지경도3,위도2,경도2,거리,코스,난이도
남구,이기대해안산책로,부산광역시 남구 용호동 산1,부산광역시 남구 용호제2동,35.132021,129.121177,35.123005,129.123784,35.110957,129.127353,,,35.100302,129.122609,4.7,동생말 - 어울마당 - 농바위 - 오륙도선착장,초급
남구,황령산 둘레길 트레킹러닝 코스,부산광역시 수영구 수영로521번길 77,부산광역시 부산진구 전포동 산50-1,35.152923,129.107504,35.155103,129.102655,35.15729,129.082164,,,35.157185,129.082078,5.3,수영구국민체육센터 - 금련산청소년수련원 - 황령산 봉수대 - 복귀,초급
해운대구,해운대 러닝코스,부산광역시 해운대구 2번출구,부산 해운대구 송정동 712-2,35.163584,129.1585578,35.156145,129.151951,,,,,35.1801147,129.2002712,5,해운대역 - 동백섬 한바퀴 - 해파랑길 2코스 시작점,초급
해운대구,동백섬 러닝코스,"동백로,부산광역시 해운대구","동백로,부산광역시 해운대구",35.156589,129.153235,,,,,,,35.155919,129.153523,1,동백섬 내부,초급
해운대구,해운대 러닝코스,부산광역시 해운대구 달맞이길62번길 13,"송정해변로,부산광역시 해운대구",35.158323,129.172777,35.179734,129.200314,,,,,35.180826,129.200316,9,해운대블루라인파크 미포정거장 데크로드길 - 송정해수욕장 - 복귀,중급
해운대구,해운대 러닝코스,"해운대역,부산광역시",부산광역시 해운대구 중제1동,35.163505,129.158503,35.155861,129.178305,,,,,35.155709,129.178339,7,해운대해수욕장 - 달맞이언덕 - 복귀,초급
사하구,사하구 러닝코스,울숙도 철새공원 철새보호소,다대로 다대제1동 사하구 부산광역시,35.106222,128.947779,,,,,,,35.046268,128.963089,8.3,울숙도 철새공원 철새보호소 - 다대포해수욕장,상급
금정구,온천천 산책로 코스,부산광역시 금정구 금정로233번길 46 구서 지하철 역,부산 금정구 장전동 242-2,35.2452264,129.0909447,35.2074956,129.0782142,35.2381463,129.0881307,,,35.2373579,129.0884284,5,구서역 인근 - 온천천로(명륜동) - 장전역 인근 - 복귀,중급
금정구,부산대 캠퍼스 러닝코스,부산 금정구 장전동,부산광역시 금정구 부산대학로63번길 2 무위암,35.2317015,129.0841815,35.2347654,129.0786585,35.2335684,129.0749118,,,35.2334616,129.0748561,2,부산대 정문 - 중앙도서관 - 체육관 - 순환 코스,초급
동래구,온천천 러닝코스,부산 동래구 수안동,부산 금정구 체육공원로 7 금정문화회관,35.1938301,129.0878373,35.246118,129.094525,,,,,35.2460725,129.0944517,7,온천천 초입 - 금정문화회관 방면 - 복귀,중급
동래구,온천천 전구간 확장 루트,부산 금정구 부곡동,부산 해운대구 우동(반환점),35.2180574,129.0848152,35.1920021,129.0995415,,,,,35.1661302,129.1265798,9,동래온천교 - 연산교 - 수영구 수영교,중급
동래구,온천천 러닝코스,부산 동래구 중앙대로 1414,부산 동래구 온천천로 451,35.2122777,129.0797542,35.190708,129.107165,,,,,35.1919031,129.1024624,5,명륜역 인근 - 안락교 - 온천천카페거리 - 복귀,중급
동래구,온천천 러닝코스,부산광역시 동래구 중앙대로 1324,부산 동래구 충렬대로 506,35.205522,129.078769,35.19422,129.1131772,,,,,35.1942345,129.1130776,7.8,1호선 동래역 2번 출구 - 원동IC 앞 - 복귀,중급
중구,용두산-친수공원,부산 중구 광복동 2가,부산 동구 초량동,35.10075,129.032628,35.1190949,129.0495364,,,,,35.114605,129.039311,4,용두산공원 - 이순신대로 - 친수공원,중급
